date,week,get_up,meditation,reading,lunch_break,running,writing,thinking,night_rest
2024-01-01,Monday,0,0,1,0,1,0,0,0
2024-01-02,Tuesday,0,0,1,0,1,0,0,0
2024-01-03,Wednesday,0,0,1,0,1,0,0,0
2024-01-04,Thursday,0,0,1,0,1,0,0,0
2024-01-05,Friday,0,0,1,0,1,0,0,0
2024-01-06,Saturday,0,0,1,0,1,0,0,0
2024-01-07,Sunday,0,0,1,0,1,0,0,0
2024-01-08,Monday,0,0,0,0,1,0,0,0
2024-01-09,Tuesday,0,0,0,0,0,0,0,0
2024-01-10,Wednesday,0,0,1,0,1,0,0,0
2024-01-11,Thursday,0,0,1,0,1,0,0,0
2024-01-12,Friday,0,0,1,0,1,0,0,0
2024-01-13,Saturday,0,0,1,0,1,0,0,0
2024-01-14,Sunday,0,0,1,0,1,0,0,0
2024-01-15,Monday,0,0,1,0,1,0,0,0
2024-01-16,Tuesday,0,0,1,0,1,0,0,0
2024-01-17,Wednesday,0,0,1,0,1,0,0,0
2024-01-18,Thursday,0,0,1,0,0,0,0,0
2024-01-19,Friday,0,0,1,0,0,0,0,0
2024-01-20,Saturday,0,0,0,0,0,0,0,0
2024-01-21,Sunday,0,0,0,0,0,0,0,0
2024-01-22,Monday,0,0,1,0,1,0,0,0
2024-01-23,Tuesday,0,0,1,0,1,0,0,0
2024-01-24,Wednesday,0,0,1,0,1,0,0,0
2024-01-25,Thursday,0,0,1,0,0,0,0,0
2024-01-26,Friday,0,0,0,0,0,0,0,0
2024-01-27,Saturday,0,0,1,0,0,0,0,0
2024-01-28,Sunday,0,0,0,0,0,0,0,0
2024-01-29,Monday,0,0,0,0,0,0,0,0
2024-01-30,Tuesday,0,0,0,0,0,0,0,0
2024-01-31,Wednesday,0,0,0,0,1,0,0,0
2024-02-01,Thursday,0,0,0,0,1,0,0,0
2024-02-02,Friday,0,0,0,0,0,0,0,0
2024-02-03,Saturday,0,0,0,0,0,0,0,0
2024-02-04,Sunday,0,0,0,0,0,0,0,0
2024-02-05,Monday,0,0,1,0,1,0,0,0
2024-02-06,Tuesday,0,0,0,0,1,0,0,0
2024-02-07,Wednesday,0,0,0,0,1,0,0,0
2024-02-08,Thursday,0,0,0,0,1,0,0,0
2024-02-09,Friday,0,0,1,0,0,0,0,0
2024-02-10,Saturday,0,0,1,0,0,0,0,0
2024-02-11,Sunday,0,0,1,0,1,0,0,0
2024-02-12,Monday,0,0,0,0,1,0,0,0
2024-02-13,Tuesday,0,0,0,0,0,0,0,0
2024-02-14,Wednesday,0,0,1,0,1,0,0,0
2024-02-15,Thursday,0,0,0,0,0,0,0,0
2024-02-16,Friday,0,0,0,0,0,0,0,0
2024-02-17,Saturday,0,0,1,0,0,0,0,0
2024-02-18,Sunday,0,0,1,0,1,0,0,0
2024-02-19,Monday,0,0,1,0,1,0,0,0
2024-02-20,Tuesday,0,0,1,0,1,0,0,0
2024-02-21,Wednesday,0,0,0,0,1,0,0,0
2024-02-22,Thursday,0,0,1,0,1,0,0,0
2024-02-23,Friday,0,0,1,0,1,0,0,0
2024-02-24,Saturday,0,0,0,0,0,0,0,0
2024-02-25,Sunday,0,0,0,0,0,0,0,0
2024-02-26,Monday,0,0,1,0,1,0,0,0
2024-02-27,Tuesday,0,1,1,0,1,0,0,0
2024-02-28,Wednesday,0,1,1,0,1,0,0,0
2024-02-29,Thursday,0,1,1,0,1,0,0,0
2024-03-01,Friday,0,1,1,0,2,0,0,0
2024-03-02,Saturday,0,1,1,0,0,0,0,0
2024-03-03,Sunday,0,1,1,0,1,0,0,0
2024-03-04,Monday,0,1,1,0,1,0,0,0
2024-03-05,Tuesday,0,1,1,0,1,0,0,0
2024-03-06,Wednesday,0,1,1,0,1,0,0,0
2024-03-07,Thursday,0,1,1,0,1,0,0,0
2024-03-08,Friday,0,1,1,0,2,0,0,0
2024-03-09,Saturday,0,1,0,0,0,0,0,0
2024-03-10,Sunday,0,1,1,0,1,0,0,0
2024-03-11,Monday,0,1,1,0,1,0,0,0
2024-03-12,Tuesday,0,1,1,0,1,0,0,0
2024-03-13,Wednesday,0,1,1,0,1,0,0,0
2024-03-14,Thursday,0,1,1,0,1,0,0,0
2024-03-15,Friday,0,1,1,0,2,0,0,0
2024-03-16,Saturday,0,1,0,0,0,0,0,0
2024-03-17,Sunday,0,1,1,0,1,0,0,0
2024-03-18,Monday,0,1,1,0,1,0,0,0
2024-03-19,Tuesday,0,1,1,0,1,0,0,0
2024-03-20,Wednesday,0,1,1,0,1,0,0,0
2024-03-21,Thursday,0,1,1,0,1,0,0,0
2024-03-22,Friday,0,1,1,0,2,0,0,0
2024-03-23,Saturday,0,1,1,0,0,0,0,0
2024-03-24,Sunday,0,1,1,0,0,0,0,0
2024-03-25,Monday,0,1,1,0,1,0,0,0
2024-03-26,Tuesday,0,1,1,0,1,0,0,0
2024-03-27,Wednesday,0,1,1,0,1,0,0,0
2024-03-28,Thursday,0,1,1,0,1,0,0,0
2024-03-29,Friday,0,1,1,0,2,0,0,0
2024-03-30,Saturday,0,1,1,0,0,0,0,0
2024-03-31,Sunday,0,1,1,0,1,0,0,0
2024-04-01,Monday,0,1,1,0,1,0,0,0
2024-04-02,Tuesday,0,1,1,0,1,0,0,0
2024-04-03,Wednesday,0,1,1,0,1,0,0,0
2024-04-04,Thursday,0,1,1,0,0,0,0,0
2024-04-05,Friday,0,1,1,0,2,0,0,0
2024-04-06,Saturday,0,1,1,0,1,0,0,0
2024-04-07,Sunday,0,1,1,0,1,0,0,0
2024-04-08,Monday,0,1,1,0,1,0,0,0
2024-04-09,Tuesday,0,1,1,0,2,0,0,0
2024-04-10,Wednesday,0,1,1,0,1,0,0,0
2024-04-11,Thursday,0,1,1,0,1,0,0,0
2024-04-12,Friday,0,1,1,0,1,0,0,0
2024-04-13,Saturday,0,1,1,0,2,0,0,0
2024-04-14,Sunday,0,1,1,0,0,0,0,0
2024-04-15,Monday,0,1,1,0,1,0,0,0
2024-04-16,Tuesday,0,1,1,0,1,0,0,0
2024-04-17,Wednesday,0,1,1,0,1,0,0,0
2024-04-18,Thursday,0,1,1,0,1,0,0,0
2024-04-19,Friday,0,1,1,0,1,0,0,0
2024-04-20,Saturday,0,1,1,0,3,0,0,0
2024-04-21,Sunday,0,1,1,0,0,0,0,0
2024-04-22,Monday,0,1,1,0,1,0,0,0
2024-04-23,Tuesday,0,1,1,0,1,0,0,0
2024-04-24,Wednesday,0,1,1,0,1,0,0,0
2024-04-25,Thursday,0,1,1,0,1,0,0,0
2024-04-26,Friday,0,1,1,0,1,0,0,0
2024-04-27,Saturday,0,1,1,0,3,0,0,0
2024-04-28,Sunday,0,1,1,0,0,0,0,0
2024-04-29,Monday,0,1,1,0,1,0,0,0
2024-04-30,Tuesday,0,1,1,0,1,0,0,0
2024-05-01,Wednesday,0,1,1,0,0,0,0,0
2024-05-02,Thursday,0,1,1,0,1,0,0,0
2024-05-03,Friday,0,1,1,0,1,0,0,0
2024-05-04,Saturday,1,1,1,0,2,0,0,0
2024-05-05,Sunday,0,1,1,0,2,3,2,1
2024-05-06,Monday,0,1,1,1,1,2,1,1
2024-05-07,Tuesday,1,1,1,1,1,1,1,1
2024-05-08,Wednesday,1,1,1,1,1,0,0,1
2024-05-09,Thursday,1,1,1,1,1,3,0,1
2024-05-10,Friday,1,1,1,1,1,3,0,0
2024-05-11,Saturday,1,1,1,0,0,3,0,0
2024-05-12,Sunday,0,1,1,0,1,1,0,0
2024-05-13,Monday,0,0,0,0,0,0,0,0
2024-05-14,Tuesday,0,0,0,0,0,0,0,0
2024-05-15,Wednesday,0,0,0,0,0,0,0,0
2024-05-16,Thursday,0,0,0,0,0,0,0,0
2024-05-17,Friday,0,0,0,0,0,0,0,0
2024-05-18,Saturday,0,0,0,0,0,0,0,0
2024-05-19,Sunday,0,0,0,0,0,0,0,0
2024-05-20,Monday,0,0,0,0,0,0,0,0
2024-05-21,Tuesday,0,0,0,0,0,0,0,0
2024-05-22,Wednesday,0,0,0,0,0,0,0,0
2024-05-23,Thursday,0,0,0,0,0,0,0,0
2024-05-24,Friday,0,0,0,0,0,0,0,0
2024-05-25,Saturday,0,0,0,0,0,0,0,0
2024-05-26,Sunday,0,0,0,0,0,0,0,0
2024-05-27,Monday,0,0,0,0,0,0,0,0
2024-05-28,Tuesday,0,0,0,0,0,0,0,0
2024-05-29,Wednesday,0,0,0,0,0,0,0,0
2024-05-30,Thursday,0,0,0,0,0,0,0,0
2024-05-31,Friday,0,0,0,0,0,0,0,0
2024-06-01,Saturday,0,0,0,0,0,0,0,0
2024-06-02,Sunday,0,0,0,0,0,0,0,0
2024-06-03,Monday,0,0,0,0,0,0,0,0
2024-06-04,Tuesday,0,0,0,0,0,0,0,0
2024-06-05,Wednesday,0,0,0,0,0,0,0,0
2024-06-06,Thursday,0,0,0,0,0,0,0,0
2024-06-07,Friday,0,0,0,0,0,0,0,0
2024-06-08,Saturday,0,0,0,0,0,0,0,0
2024-06-09,Sunday,0,0,0,0,0,0,0,0
2024-06-10,Monday,0,0,0,0,0,0,0,0
2024-06-11,Tuesday,0,0,0,0,0,0,0,0
2024-06-12,Wednesday,0,0,0,0,0,0,0,0
2024-06-13,Thursday,0,0,0,0,0,0,0,0
2024-06-14,Friday,0,0,0,0,0,0,0,0
2024-06-15,Saturday,0,0,0,0,0,0,0,0
2024-06-16,Sunday,0,0,0,0,0,0,0,0
2024-06-17,Monday,0,0,0,0,0,0,0,0
2024-06-18,Tuesday,0,0,0,0,0,0,0,0
2024-06-19,Wednesday,0,0,0,0,0,0,0,0
2024-06-20,Thursday,0,0,0,0,0,0,0,0
2024-06-21,Friday,0,0,0,0,0,0,0,0
2024-06-22,Saturday,0,0,0,0,0,0,0,0
2024-06-23,Sunday,0,0,0,0,0,0,0,0
2024-06-24,Monday,0,0,0,0,0,0,0,0
2024-06-25,Tuesday,0,0,0,0,0,0,0,0
2024-06-26,Wednesday,0,0,0,0,0,0,0,0
2024-06-27,Thursday,0,0,0,0,0,0,0,0
2024-06-28,Friday,0,0,0,0,0,0,0,0
2024-06-29,Saturday,0,0,0,0,0,0,0,0
2024-06-30,Sunday,0,0,0,0,0,0,0,0
2024-07-01,Monday,0,0,0,0,0,0,0,0
2024-07-02,Tuesday,0,0,0,0,0,0,0,0
2024-07-03,Wednesday,0,0,0,0,0,0,0,0
2024-07-04,Thursday,0,0,0,0,0,0,0,0
2024-07-05,Friday,0,0,0,0,0,0,0,0
2024-07-06,Saturday,0,0,0,0,0,0,0,0
2024-07-07,Sunday,0,0,0,0,0,0,0,0
2024-07-08,Monday,0,0,0,0,0,0,0,0
2024-07-09,Tuesday,0,0,0,0,0,0,0,0
2024-07-10,Wednesday,0,0,0,0,0,0,0,0
2024-07-11,Thursday,0,0,0,0,0,0,0,0
2024-07-12,Friday,0,0,0,0,0,0,0,0
2024-07-13,Saturday,0,0,0,0,0,0,0,0
2024-07-14,Sunday,0,0,0,0,0,0,0,0
2024-07-15,Monday,0,0,0,0,0,0,0,0
2024-07-16,Tuesday,0,0,0,0,0,0,0,0
2024-07-17,Wednesday,0,0,0,0,0,0,0,0
2024-07-18,Thursday,0,0,0,0,0,0,0,0
2024-07-19,Friday,0,0,0,0,0,0,0,0
2024-07-20,Saturday,0,0,0,0,0,0,0,0
2024-07-21,Sunday,0,0,0,0,0,0,0,0
2024-07-22,Monday,0,0,0,0,0,0,0,0
2024-07-23,Tuesday,0,0,0,0,0,0,0,0
2024-07-24,Wednesday,0,0,0,0,0,0,0,0
2024-07-25,Thursday,0,0,0,0,0,0,0,0
2024-07-26,Friday,0,0,0,0,0,0,0,0
2024-07-27,Saturday,0,0,0,0,0,0,0,0
2024-07-28,Sunday,0,0,0,0,0,0,0,0
2024-07-29,Monday,0,0,0,0,0,0,0,0
2024-07-30,Tuesday,0,0,0,0,0,0,0,0
2024-07-31,Wednesday,0,0,0,0,0,0,0,0
2024-08-01,Thursday,0,0,0,0,0,0,0,0
2024-08-02,Friday,0,0,0,0,0,0,0,0
2024-08-03,Saturday,0,0,0,0,0,0,0,0
2024-08-04,Sunday,0,0,0,0,0,0,0,0
2024-08-05,Monday,0,0,0,0,0,0,0,0
2024-08-06,Tuesday,0,0,0,0,0,0,0,0
2024-08-07,Wednesday,0,0,0,0,0,0,0,0
2024-08-08,Thursday,0,0,0,0,0,0,0,0
2024-08-09,Friday,0,0,0,0,0,0,0,0
2024-08-10,Saturday,0,0,0,0,0,0,0,0
2024-08-11,Sunday,0,0,0,0,0,0,0,0
2024-08-12,Monday,0,0,0,0,0,0,0,0
2024-08-13,Tuesday,0,0,0,0,0,0,0,0
2024-08-14,Wednesday,0,0,0,0,0,0,0,0
2024-08-15,Thursday,0,0,0,0,0,0,0,0
2024-08-16,Friday,0,0,0,0,0,0,0,0
2024-08-17,Saturday,0,0,0,0,0,0,0,0
2024-08-18,Sunday,0,0,0,0,0,0,0,0
2024-08-19,Monday,0,0,0,0,0,0,0,0
2024-08-20,Tuesday,0,0,0,0,0,0,0,0
2024-08-21,Wednesday,0,0,0,0,0,0,0,0
2024-08-22,Thursday,0,0,0,0,0,0,0,0
2024-08-23,Friday,0,0,0,0,0,0,0,0
2024-08-24,Saturday,0,0,0,0,0,0,0,0
2024-08-25,Sunday,0,0,0,0,0,0,0,0
2024-08-26,Monday,0,0,0,0,0,0,0,0
2024-08-27,Tuesday,0,0,0,0,0,0,0,0
2024-08-28,Wednesday,0,0,0,0,0,0,0,0
2024-08-29,Thursday,0,0,0,0,0,0,0,0
2024-08-30,Friday,0,0,0,0,0,0,0,0
2024-08-31,Saturday,0,0,0,0,0,0,0,0
2024-09-01,Sunday,0,0,0,0,0,0,0,0
2024-09-02,Monday,0,0,0,0,0,0,0,0
2024-09-03,Tuesday,0,0,0,0,0,0,0,0
2024-09-04,Wednesday,0,0,0,0,0,0,0,0
2024-09-05,Thursday,0,0,0,0,0,0,0,0
2024-09-06,Friday,0,0,0,0,0,0,0,0
2024-09-07,Saturday,0,0,0,0,0,0,0,0
2024-09-08,Sunday,0,0,0,0,0,0,0,0
2024-09-09,Monday,0,0,0,0,0,0,0,0
2024-09-10,Tuesday,0,0,0,0,0,0,0,0
2024-09-11,Wednesday,0,0,0,0,0,0,0,0
2024-09-12,Thursday,0,0,0,0,0,0,0,0
2024-09-13,Friday,0,0,0,0,0,0,0,0
2024-09-14,Saturday,0,0,0,0,0,0,0,0
2024-09-15,Sunday,0,0,0,0,0,0,0,0
2024-09-16,Monday,0,0,0,0,0,0,0,0
2024-09-17,Tuesday,0,0,0,0,0,0,0,0
2024-09-18,Wednesday,0,0,0,0,0,0,0,0
2024-09-19,Thursday,0,0,0,0,0,0,0,0
2024-09-20,Friday,0,0,0,0,0,0,0,0
2024-09-21,Saturday,0,0,0,0,0,0,0,0
2024-09-22,Sunday,0,0,0,0,0,0,0,0
2024-09-23,Monday,0,0,0,0,0,0,0,0
2024-09-24,Tuesday,0,0,0,0,0,0,0,0
2024-09-25,Wednesday,0,0,0,0,0,0,0,0
2024-09-26,Thursday,0,0,0,0,0,0,0,0
2024-09-27,Friday,0,0,0,0,0,0,0,0
2024-09-28,Saturday,0,0,0,0,0,0,0,0
2024-09-29,Sunday,0,0,0,0,0,0,0,0
2024-09-30,Monday,0,0,0,0,0,0,0,0
2024-10-01,Tuesday,0,0,0,0,0,0,0,0
2024-10-02,Wednesday,0,0,0,0,0,0,0,0
2024-10-03,Thursday,0,0,0,0,0,0,0,0
2024-10-04,Friday,0,0,0,0,0,0,0,0
2024-10-05,Saturday,0,0,0,0,0,0,0,0
2024-10-06,Sunday,0,0,0,0,0,0,0,0
2024-10-07,Monday,0,0,0,0,0,0,0,0
2024-10-08,Tuesday,0,0,0,0,0,0,0,0
2024-10-09,Wednesday,0,0,0,0,0,0,0,0
2024-10-10,Thursday,0,0,0,0,0,0,0,0
2024-10-11,Friday,0,0,0,0,0,0,0,0
2024-10-12,Saturday,0,0,0,0,0,0,0,0
2024-10-13,Sunday,0,0,0,0,0,0,0,0
2024-10-14,Monday,0,0,0,0,0,0,0,0
2024-10-15,Tuesday,0,0,0,0,0,0,0,0
2024-10-16,Wednesday,0,0,0,0,0,0,0,0
2024-10-17,Thursday,0,0,0,0,0,0,0,0
2024-10-18,Friday,0,0,0,0,0,0,0,0
2024-10-19,Saturday,0,0,0,0,0,0,0,0
2024-10-20,Sunday,0,0,0,0,0,0,0,0
2024-10-21,Monday,0,0,0,0,0,0,0,0
2024-10-22,Tuesday,0,0,0,0,0,0,0,0
2024-10-23,Wednesday,0,0,0,0,0,0,0,0
2024-10-24,Thursday,0,0,0,0,0,0,0,0
2024-10-25,Friday,0,0,0,0,0,0,0,0
2024-10-26,Saturday,0,0,0,0,0,0,0,0
2024-10-27,Sunday,0,0,0,0,0,0,0,0
2024-10-28,Monday,0,0,0,0,0,0,0,0
2024-10-29,Tuesday,0,0,0,0,0,0,0,0
2024-10-30,Wednesday,0,0,0,0,0,0,0,0
2024-10-31,Thursday,0,0,0,0,0,0,0,0
2024-11-01,Friday,0,0,0,0,0,0,0,0
2024-11-02,Saturday,0,0,0,0,0,0,0,0
2024-11-03,Sunday,0,0,0,0,0,0,0,0
2024-11-04,Monday,0,0,0,0,0,0,0,0
2024-11-05,Tuesday,0,0,0,0,0,0,0,0
2024-11-06,Wednesday,0,0,0,0,0,0,0,0
2024-11-07,Thursday,0,0,0,0,0,0,0,0
2024-11-08,Friday,0,0,0,0,0,0,0,0
2024-11-09,Saturday,0,0,0,0,0,0,0,0
2024-11-10,Sunday,0,0,0,0,0,0,0,0
2024-11-11,Monday,0,0,0,0,0,0,0,0
2024-11-12,Tuesday,0,0,0,0,0,0,0,0
2024-11-13,Wednesday,0,0,0,0,0,0,0,0
2024-11-14,Thursday,0,0,0,0,0,0,0,0
2024-11-15,Friday,0,0,0,0,0,0,0,0
2024-11-16,Saturday,0,0,0,0,0,0,0,0
2024-11-17,Sunday,0,0,0,0,0,0,0,0
2024-11-18,Monday,0,0,0,0,0,0,0,0
2024-11-19,Tuesday,0,0,0,0,0,0,0,0
2024-11-20,Wednesday,0,0,0,0,0,0,0,0
2024-11-21,Thursday,0,0,0,0,0,0,0,0
2024-11-22,Friday,0,0,0,0,0,0,0,0
2024-11-23,Saturday,0,0,0,0,0,0,0,0
2024-11-24,Sunday,0,0,0,0,0,0,0,0
2024-11-25,Monday,0,0,0,0,0,0,0,0
2024-11-26,Tuesday,0,0,0,0,0,0,0,0
2024-11-27,Wednesday,0,0,0,0,0,0,0,0
2024-11-28,Thursday,0,0,0,0,0,0,0,0
2024-11-29,Friday,0,0,0,0,0,0,0,0
2024-11-30,Saturday,0,0,0,0,0,0,0,0
2024-12-01,Sunday,0,0,0,0,0,0,0,0
2024-12-02,Monday,0,0,0,0,0,0,0,0
2024-12-03,Tuesday,0,0,0,0,0,0,0,0
2024-12-04,Wednesday,0,0,0,0,0,0,0,0
2024-12-05,Thursday,0,0,0,0,0,0,0,0
2024-12-06,Friday,0,0,0,0,0,0,0,0
2024-12-07,Saturday,0,0,0,0,0,0,0,0
2024-12-08,Sunday,0,0,0,0,0,0,0,0
2024-12-09,Monday,0,0,0,0,0,0,0,0
2024-12-10,Tuesday,0,0,0,0,0,0,0,0
2024-12-11,Wednesday,0,0,0,0,0,0,0,0
2024-12-12,Thursday,0,0,0,0,0,0,0,0
2024-12-13,Friday,0,0,0,0,0,0,0,0
2024-12-14,Saturday,0,0,0,0,0,0,0,0
2024-12-15,Sunday,0,0,0,0,0,0,0,0
2024-12-16,Monday,0,0,0,0,0,0,0,0
2024-12-17,Tuesday,0,0,0,0,0,0,0,0
2024-12-18,Wednesday,0,0,0,0,0,0,0,0
2024-12-19,Thursday,0,0,0,0,0,0,0,0
2024-12-20,Friday,0,0,0,0,0,0,0,0
2024-12-21,Saturday,0,0,0,0,0,0,0,0
2024-12-22,Sunday,0,0,0,0,0,0,0,0
2024-12-23,Monday,0,0,0,0,0,0,0,0
2024-12-24,Tuesday,0,0,0,0,0,0,0,0
2024-12-25,Wednesday,0,0,0,0,0,0,0,0
2024-12-26,Thursday,0,0,0,0,0,0,0,0
2024-12-27,Friday,0,0,0,0,0,0,0,0
2024-12-28,Saturday,0,0,0,0,0,0,0,0
2024-12-29,Sunday,0,0,0,0,0,0,0,0
2024-12-30,Monday,0,0,0,0,0,0,0,0
2024-12-31,Tuesday,0,0,0,0,0,0,0,0
